,Series_reference,Data_value,Suppressed
457,BDCQ.SF1CC1CA,12745.412,
458,BDCQ.SF1CC1CA,12574.246,
459,BDCQ.SF1CC1CA,10633.605,
460,BDCQ.SF1CC1CA,13806.468,
461,BDCQ.SF1CC1CA,13704.407,
462,BDCQ.SF1CC1CA,13035.873,
463,BDCQ.SF1CC1CA,11170.665,
464,BDCQ.SF1CC1CA,15202.125,
465,BDCQ.SF1CC1CA,14554.796,
466,BDCQ.SF1CC1CA,13611.426,
467,BDCQ.SF1CC1CA,11354.265,
468,BDCQ.SF1CC1CA,14450.272,
469,BDCQ.SF1CC1CA,14066.305,
470,BDCQ.SF1CC1CA,14238.983,
471,BDCQ.SF1CC1CA,12297.488,
472,BDCQ.SF1CC1CA,16382.914,
473,BDCQ.SF1CC1CA,15717.522,
474,BDCQ.SF1CC1CA,16272.442,
475,BDCQ.SF1CC1CA,15291.312,
476,BDCQ.SF1CC1CA,18635.905,
477,BDCQ.SF1CC1CA,16668.703,
478,BDCQ.SF1CC1CA,16881.115,
479,BDCQ.SF1CC1CA,13782.11,
480,BDCQ.SF1CC1CS,10645.496,
481,BDCQ.SF1CC1CS,10745.983,
482,BDCQ.SF1CC1CS,10992.684,
483,BDCQ.SF1CC1CS,11228.896,
484,BDCQ.SF1CC1CS,12123.474,
485,BDCQ.SF1CC1CS,12255.822,
486,BDCQ.SF1CC1CS,12472.017,
487,BDCQ.SF1CC1CS,12163.966,
488,BDCQ.SF1CC1CS,12504.544,
489,BDCQ.SF1CC1CS,12538.395,
490,BDCQ.SF1CC1CS,12552.331,
491,BDCQ.SF1CC1CS,13123.505,
492,BDCQ.SF1CC1CS,12934.311,
493,BDCQ.SF1CC1CS,13155.033,
494,BDCQ.SF1CC1CS,13824.769,
495,BDCQ.SF1CC1CS,13975.058,
496,BDCQ.SF1CC1CS,13489.202,
497,BDCQ.SF1CC1CS,13340.294,
498,BDCQ.SF1CC1CS,13137.496,
499,BDCQ.SF1CC1CS,13552.489,
